,Stock Ticker,Date,Finding_Type,Discription
0,HDFC.NSE,2019-04-18,BEARISH_ENGULFING," $$ 1. Bearish candle formed $$ 2. Bullish candle formed $$ 3. Gap Up  , Open Price : 2040 Previous Day Close Price : 2026.7 $$ 4. Gap Up  Rejected , Close Price : 2003.75 Previous Day Open Price : 2019.7 $$ 5. BEARISH ENGLUFING PATTERN FOUND ,  $$ 6. Uptrend confirmed"
1,JINDALSTEL.NSE,2019-04-18,BEARISH_ENGULFING," $$ 1. Bearish candle formed $$ 2. Bullish candle formed $$ 3. Gap Up  , Open Price : 190.5 Previous Day Close Price : 189.35 $$ 4. Gap Up  Rejected , Close Price : 183.3 Previous Day Open Price : 186.5 $$ 5. BEARISH ENGLUFING PATTERN FOUND ,  $$ 6. Uptrend confirmed"
2,^NSEBANK,2019-04-18,BEARISH_ENGULFING," $$ 1. Bearish candle formed $$ 2. Bullish candle formed $$ 3. Gap Up  , Open Price : 30656.5 Previous Day Close Price : 30531.35 $$ 4. Gap Up  Rejected , Close Price : 30223.4 Previous Day Open Price : 30236.25 $$ 5. BEARISH ENGLUFING PATTERN FOUND ,  $$ 6. Uptrend confirmed"
3,EXIDEIND.NSE,2019-04-18,BEARISH_ENGULFING," $$ 1. Bearish candle formed $$ 2. Bullish candle formed $$ 3. Gap Up  , Open Price : 229.5 Previous Day Close Price : 227.25 $$ 4. Gap Up  Rejected , Close Price : 221.8 Previous Day Open Price : 226.1 $$ 5. BEARISH ENGLUFING PATTERN FOUND ,  $$ 6. Uptrend confirmed"
4,ADANIPORTS.NSE,2019-04-18,BEARISH_HARAMI," $$ 1. Bearish candle formed $$ 2. Bullish candle formed  $$ 3. Gap down  , Open Price : 395 Previous Day Close Price : 395.65 $$ 4. HARAMI PATTERN FOUND ,  $$ 5. Uptrend confirmed"
5,FRETAIL.NSE,2019-04-18,DOUBLE_DOJI," $$ 1. Latest Candle Doji Formation , Open Price : 430 Close Price : 430 $$ 2. Previous Candle Doji Formation , Open Price : 431 Close Price : 430.6 $$ 3. Latest Doji Formation inside previous candle $$ 4. Downtrend confirmed  $$ 5. STOPLOSS/BUYPRICE :-  435.15/425.1"
6,UPL.NSE,2019-04-18,DOUBLE_DOJI," $$ 1. Latest Candle Doji Formation , Open Price : 935.05 Close Price : 934.05 $$ 2. Previous Candle Doji Formation , Open Price : 935 Close Price : 933.9 $$ 3. Latest Doji Formation inside previous candle $$ 4. Downtrend confirmed  $$ 5. STOPLOSS/BUYPRICE :-  939.6/925.65"
7,ABFRL.NSE,2019-04-18,DOUBLE_DOJI," $$ 1. Latest Candle Doji Formation , Open Price : 221.6 Close Price : 221.2 $$ 2. Previous Candle Doji Formation , Open Price : 222.2 Close Price : 222.35 $$ 3. Latest Doji Formation inside previous candle $$ 4. Uptrend confirmed  $$ 5. STOPLOSS/BUYPRICE :-  224.2/216"
8,COALINDIA.NSE,2019-04-18,DOUBLE_DOJI," $$ 1. Latest Candle Doji Formation , Open Price : 251.75 Close Price : 251.45 $$ 2. Previous Candle Doji Formation , Open Price : 252 Close Price : 251.6 $$ 3. Latest Doji Formation inside previous candle $$ 4. Downtrend confirmed  $$ 5. STOPLOSS/BUYPRICE :-  256.7/248.05"
9,TCS.NSE,2019-04-18,DRAGONFLY_DOJI," $$ 1. DOJI Found , Open Price : 2149.9 Close Price : 2150.05 $$ 2. Small or no upper shadow  , Close Price : 2150.05 High Price : 2155 $$ 3. Long Lower Shadow  , Open Price : 2149.9 Low Price : 2114.2"
10,BALKRISIND.NSE,2019-04-18,EVENING_STAR," $$ 1. Latest Bearish candle formed $$ 2. Middle Candle Doji Formation , Open Price : 972 Close Price : 967.75 $$ 3. Last/3rd Bullish candle formed  $$ 4. Second Candle Gap Up  , Price of middle candle : 967.75 Previous Day Close Price : 967.7 $$ 5. Latest Candle Gap down  , Open Price : 967 Previous Day Price : 967.75 $$ 6. Uptrend confirmed ."
11,MUTHOOTFIN.NSE,2019-04-18,TWIZZER_BOTTOM," $$ 1. Bullish candle formed $$ 2. Bearish candle formed $$ 3. TWIZZER BOTTOM FOUND , Open Day 1 Price : 614 Close Day 2 Price : 613.85"
12,TATACHEM.NSE,2019-04-18,TWIZZER_TOP," $$ 1. Bearish candle formed $$ 2. Bullish candle formed $$ 3. TWIZZER TOP FOUND , Open Day 1 Price : 612.25 Close Day 2 Price : 612.25 $$ 4. Uptrend confirmed"


986431633 -- airtel
